role_id,role_title,role_description,required_skills
1,DevOps Analyst,"Responsible for c++, swift, kotlin, git tasks and projects","c++,swift,kotlin,git"
2,Backend Scientist,"Responsible for numpy, adobe xd, flask, git, node tasks and projects","numpy,adobe xd,flask,git,node"
3,Machine Learning Administrator,"Responsible for java, css, airflow tasks and projects","java,css,airflow"
4,Business Designer,"Responsible for numpy, react, git, solidity, sql, javascript tasks and projects","numpy,react,git,solidity,sql,javascript"
5,Backend Developer,"Responsible for swift, javascript, flutter tasks and projects","swift,javascript,flutter"
6,Game Designer,"Responsible for flutter, django, css, adobe xd, python tasks and projects","flutter,django,css,adobe xd,python"
7,Backend Developer,"Responsible for c#, solidity, html, linux, node, kotlin tasks and projects","c#,solidity,html,linux,node,kotlin"
8,Product Developer,"Responsible for unity, react, solidity, sql, django, azure tasks and projects","unity,react,solidity,sql,django,azure"
9,UI/UX Manager,"Responsible for adobe xd, swift, javascript, spark, nlp, figma tasks and projects","adobe xd,swift,javascript,spark,nlp,figma"
10,Mobile Developer,"Responsible for kubernetes, unity, docker, airflow, pytorch tasks and projects","kubernetes,unity,docker,airflow,pytorch"
11,Marketing Administrator,"Responsible for c#, numpy, css, solidity, tensorflow, figma tasks and projects","c#,numpy,css,solidity,tensorflow,figma"
12,Embedded Specialist,"Responsible for cloud, react, linux, figma, java tasks and projects","cloud,react,linux,figma,java"
13,Security Engineer,"Responsible for aws, adobe xd, numpy tasks and projects","aws,adobe xd,numpy"
14,Full Stack Designer,"Responsible for swift, node, c++, kotlin tasks and projects","swift,node,c++,kotlin"
15,Product Developer,"Responsible for css, sql, aws, django tasks and projects","css,sql,aws,django"
16,Business Specialist,"Responsible for c++, sql, pandas, adobe xd, java, figma tasks and projects","c++,sql,pandas,adobe xd,java,figma"
17,Full Stack Administrator,"Responsible for docker, css, sql tasks and projects","docker,css,sql"
18,Marketing Specialist,"Responsible for unity, aws, node tasks and projects","unity,aws,node"
19,Backend Specialist,"Responsible for figma, swift, c++ tasks and projects","figma,swift,c++"
20,Security Engineer,"Responsible for html, nlp, cloud, pandas, sql, python tasks and projects","html,nlp,cloud,pandas,sql,python"
21,Frontend Architect,"Responsible for python, nlp, html tasks and projects","python,nlp,html"
22,Product Designer,"Responsible for swift, docker, adobe xd, python tasks and projects","swift,docker,adobe xd,python"
23,Cloud Consultant,"Responsible for aws, pandas, pytorch, figma tasks and projects","aws,pandas,pytorch,figma"
24,QA Architect,"Responsible for sql, tensorflow, flutter, figma, git tasks and projects","sql,tensorflow,flutter,figma,git"
25,Machine Learning Administrator,"Responsible for django, cloud, swift, python, solidity, aws tasks and projects","django,cloud,swift,python,solidity,aws"
26,Robotics Analyst,"Responsible for figma, swift, unity, html, tensorflow, numpy tasks and projects","figma,swift,unity,html,tensorflow,numpy"
27,Mobile Engineer,"Responsible for adobe xd, python, kubernetes, css, solidity tasks and projects","adobe xd,python,kubernetes,css,solidity"
28,Backend Specialist,"Responsible for cloud, docker, unity, c++, spark, adobe xd tasks and projects","cloud,docker,unity,c++,spark,adobe xd"
29,Marketing Scientist,"Responsible for pytorch, html, unity tasks and projects","pytorch,html,unity"
30,Product Specialist,"Responsible for c++, aws, django, flask tasks and projects","c++,aws,django,flask"
